Product ID,Product Name,Product Price,Product Available Quantity
65be645dc9b6e43c8f7983ce,Apple iPhone 13,0,0
65be645dc9b6e43c8f7983cf,Samsung Galaxy S21,10,5
65be645dc9b6e43c8f7983d0,Sony PlayStation 5,20,10
65be645dc9b6e43c8f7983d1,Microsoft Xbox Series X,30,15
65be645dc9b6e43c8f7983d2,Apple MacBook Pro,40,20
65be645dc9b6e43c8f7983d3,Dell XPS 13,50,25
65be645dc9b6e43c8f7983d4,Amazon Echo (4th Gen),60,30
65be645dc9b6e43c8f7983d5,Google Pixel 6,70,35
65be645dc9b6e43c8f7983d6,Apple iPad Pro,80,40
65be645dc9b6e43c8f7983d7,Samsung Galaxy Tab S7,90,45
65be645dc9b6e43c8f7983d8,Bose QuietComfort 35 II,100,50
65be645dc9b6e43c8f7983d9,Apple Watch Series 7,110,55
65be645dc9b6e43c8f7983da,Canon EOS M50 Mark II,120,60
65be645dc9b6e43c8f7983db,Nikon D3500,130,65
65be645dc9b6e43c8f7983dc,Apple AirPods Pro,140,70
65be645dc9b6e43c8f7983dd,Samsung QN90A Neo QLED,150,75
65be645dc9b6e43c8f7983de,LG OLED C1,160,80
65be645dc9b6e43c8f7983df,Sony WH-1000XM4,170,85
65be645dc9b6e43c8f7983e0,"Apple iMac (24-inch, 2021)",180,90
65be645dc9b6e43c8f7983e1,HP Spectre x360 (2021),190,95
65be645dc9b6e43c8f7983e2,Roku Ultra (2020),200,100
65be645dc9b6e43c8f7983e3,Amazon Kindle Paperwhite (2021),210,105
65be645dc9b6e43c8f7983e4,GoPro Hero10 Black,220,110
65be645dc9b6e43c8f7983e5,DJI Mavic Air 2,230,115
65be645dc9b6e43c8f7983e6,Apple HomePod mini,240,120
65be645dc9b6e43c8f7983e7,Samsung Galaxy Z Fold 3,250,125
65be645dc9b6e43c8f7983e8,Apple TV 4K (2021),260,130
65be645dc9b6e43c8f7983e9,Sony A8H OLED,270,135
65be645dc9b6e43c8f7983ea,JBL Flip 5,280,140
65be645dc9b6e43c8f7983eb,Fitbit Charge 4,290,145
65be645dc9b6e43c8f7983ec,Ring Video Doorbell Pro 2,300,150
65be645dc9b6e43c8f7983ed,Nest Learning Thermostat,310,155
65be645dc9b6e43c8f7983ee,Dyson V11 Torque Drive,320,160
65be645dc9b6e43c8f7983ef,Instant Pot Duo Nova,330,165
65be645dc9b6e43c8f7983f0,iRobot Roomba S9+,340,170
65be645dc9b6e43c8f7983f1,Philips Sonicare ProtectiveClean 6100,350,175
65be645dc9b6e43c8f7983f2,Garmin Forerunner 245,360,180
65be645dc9b6e43c8f7983f3,Anker Soundcore Liberty Air 2 Pro,370,185
65be645dc9b6e43c8f7983f4,Logitech MX Master 3,380,190
65be645dc9b6e43c8f7983f5,WD Black SN850 NVMe SSD,390,195
65be645dc9b6e43c8f7983f6,Netgear Nighthawk AX12,400,200
65be645dc9b6e43c8f7983f7,TP-Link Archer AX6000,410,205
65be645dc9b6e43c8f7983f8,Asus ROG Rapture GT-AX11000,420,210
65be645dc9b6e43c8f7983f9,Eero Pro 6,430,215
65be645dc9b6e43c8f7983fa,Google Nest Wifi,440,220
65be645dc9b6e43c8f7983fb,Linksys Velop MX10,450,225
65be645dc9b6e43c8f7983fc,Netgear Orbi WiFi 6,460,230
65be645dc9b6e43c8f7983fd,TP-Link Deco X60,470,235
65be645dc9b6e43c8f7983fe,Asus ZenWiFi AX6600,480,240
65be645dc9b6e43c8f7983ff,Arris Surfboard Max Pro,490,245
